county,var_base,estimate,geography_level
CLARK,unknown_victims_age_18_24,0,county
CLARK,unknown_victims_age_25_34,0,county
CLARK,unknown_victims_age_35_44,0,county
CLARK,unknown_victims_age_45_54,0,county
CLARK,unknown_victims_age_55_64,0,county
CLARK,unknown_victims_age_65+,0,county
"CLARK, MARATHON",female_victims_age_Under 18,0,county
"CLARK, MARATHON",female_victims_age_18_24,10,county
"CLARK, MARATHON",female_victims_age_25_34,4,county
"CLARK, MARATHON",female_victims_age_35_44,4,county
"CLARK, MARATHON",female_victims_age_45_54,6,county
"CLARK, MARATHON",female_victims_age_55_64,0,county
"CLARK, MARATHON",female_victims_age_65+,2,county
"CLARK, MARATHON",male_victims_age_Under 18,5,county
"CLARK, MARATHON",male_victims_age_18_24,2,county
"CLARK, MARATHON",male_victims_age_25_34,0,county
"CLARK, MARATHON",male_victims_age_35_44,0,county
"CLARK, MARATHON",male_victims_age_45_54,1,county
"CLARK, MARATHON",male_victims_age_55_64,0,county
"CLARK, MARATHON",male_victims_age_65+,0,county
"CLARK, MARATHON",unknown_victims_age_Under 18,0,county
"CLARK, MARATHON",unknown_victims_age_18_24,0,county
"CLARK, MARATHON",unknown_victims_age_25_34,0,county
"CLARK, MARATHON",unknown_victims_age_35_44,0,county
"CLARK, MARATHON",unknown_victims_age_45_54,0,county
